"test5","test1","test2","test1","1"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Black or African American only","73.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","White only","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Hispanic or Latino","84"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Not Hispanic or Latino","81.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Black or African American only, not Hisp/Latino","73.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","White only, not Hispanic or Latino","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Female","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Male","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alabama","Persons aged 20 to 24 years","72.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","American Indian or Alaska Native only","61.333333333333336"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","Black or African American only","73"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","White only","81.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","Hispanic or Latino","76"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","Not Hispanic or Latino","78.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","White only, not Hispanic or Latino","82"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","Female","79.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","Male","77"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Alaska","Persons aged 20 to 24 years","62.666666666666664"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","American Indian or Alaska Native only","59"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","White only","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","Hispanic or Latino","62.666666666666664"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","Not Hispanic or Latino","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","White only, not Hispanic or Latino","89.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","Female","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","Male","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arizona","Persons aged 20 to 24 years","70.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Black or African American only","71"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","White only","81.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Hispanic or Latino","65"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Not Hispanic or Latino","80.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Black or African American only, not Hisp/Latino","71"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","White only, not Hispanic or Latino","81.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Female","79"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Male","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Arkansas","Persons aged 20 to 24 years","68.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Asian or Pacific Islander only","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Black or African American only","78.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","White only","77.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Hispanic or Latino","61.666666666666664"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Not Hispanic or Latino","86.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Black or African American only, not Hisp/Latino","80.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","White only, not Hispanic or Latino","87.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Female","79.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Male","77.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","California","Persons aged 20 to 24 years","68.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Black or African American only","85"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","White only","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Hispanic or Latino","62.333333333333336"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Not Hispanic or Latino","87.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Black or African American only, not Hisp/Latino","86"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","White only, not Hispanic or Latino","88.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Female","85.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Male","82.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Colorado","Persons aged 20 to 24 years","72.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Asian or Pacific Islander only","89.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Black or African American only","81"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","White only","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Hispanic or Latino","72.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Not Hispanic or Latino","91"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Black or African American only, not Hisp/Latino","82"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","White only, not Hispanic or Latino","91.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Female","90.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Male","87"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Connecticut","Persons aged 20 to 24 years","75"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Black or African American only","87.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","White only","90.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Hispanic or Latino","81.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Not Hispanic or Latino","90"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Black or African American only, not Hisp/Latino","87.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","White only, not Hispanic or Latino","90.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Female","91.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Male","88"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Delaware","Persons aged 20 to 24 years","80.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Black or African American only","83.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","White only","92.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Hispanic or Latino","74"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Not Hispanic or Latino","87.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Black or African American only, not Hisp/Latino","83.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","White only, not Hispanic or Latino","93"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Female","89"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Male","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","District of Columbia","Persons aged 20 to 24 years","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Asian or Pacific Islander only","84.5"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Black or African American only","71.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","White only","80"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Hispanic or Latino","65.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Not Hispanic or Latino","81.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Black or African American only, not Hisp/Latino","75.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","White only, not Hispanic or Latino","83"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Female","79"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Male","78"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Florida","Persons aged 20 to 24 years","66"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Black or African American only","79.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","White only","85.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Hispanic or Latino","80"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Not Hispanic or Latino","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Black or African American only, not Hisp/Latino","79.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","White only, not Hispanic or Latino","85.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Female","83.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Male","84.33333333333333"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Georgia","Persons aged 20 to 24 years","73.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","American Indian or Alaska Native only","88.5"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Asian or Pacific Islander only","92.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Black or African American only","93"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","White only","90.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Hispanic or Latino","89.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Not Hispanic or Latino","91.66666666666667"
"Access to Quality Health Services","1-1 Persons with health insurance (aged under 65 years)","Hawaii","Black or African American only, not Hisp/Latino","93"
